Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Gerald Henderson,25,Guard,CHO,68.0,58,31.4,15.5,0.447,0.462,0.33,0.8240000000000001,0.8,2.9,3.7,2.6,1.0,0.5,1.6,2.2,2013,0
Roy Hibbert,26,Center,IND,79.0,79,28.7,11.9,0.448,0.449,0.25,0.741,3.7,4.6,8.3,1.4,0.5,2.6,2.1,3.5,2013,0
J.J. Hickson,24,Center,POR,80.0,80,29.0,12.7,0.562,0.563,0.0,0.679,3.3,7.0,10.4,1.1,0.6,0.6,1.8,2.0,2013,0
Nenê,30,Forward,WAS,61.0,49,27.2,12.6,0.48,0.481,0.0,0.7290000000000001,1.7,5.0,6.7,2.9,0.9,0.6,2.3,2.8,2013,0
George Hill,26,Guard,IND,76.0,76,34.5,14.2,0.443,0.494,0.368,0.8170000000000001,0.6,3.1,3.7,4.7,1.1,0.3,1.5,1.8,2013,0
Jrue Holiday,22,Guard,PHI,78.0,78,37.5,17.7,0.431,0.446,0.368,0.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2,2013,0
Al Horford,26,Center,ATL,74.0,74,37.2,17.4,0.5429999999999999,0.544,0.5,0.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,2013,0
Dwight Howard,27,Center,LAL,76.0,76,35.8,17.1,0.578,0.581,0.16699999999999998,0.4920000000000001,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,2013,0
Serge Ibaka,23,Forward,OKC,80.0,80,31.1,13.2,0.573,0.591,0.35100000000000003,0.7490000000000001,2.8,4.9,7.7,0.5,0.4,3.0,1.6,2.7,2013,0
Andre Iguodala,29,Guard,DEN,80.0,80,34.7,13.0,0.451,0.515,0.317,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,2013,0
Ersan İlyasova,25,Forward,MIL,73.0,54,27.6,13.2,0.462,0.469,0.444,0.7959999999999999,2.1,5.0,7.1,1.6,0.9,0.5,1.0,2.5,2013,0
Kyrie Irving,20,Guard,CLE,59.0,59,34.7,22.5,0.452,0.474,0.391,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,2013,0
Jarrett Jack,29,Guard,GSW,79.0,4,29.7,12.9,0.452,0.466,0.404,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,2013,0
LeBron James,28,Forward,MIA,76.0,76,37.9,26.8,0.565,0.602,0.406,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,2013,1
Antawn Jamison,36,Forward,LAL,76.0,6,21.5,9.4,0.464,0.535,0.361,0.691,1.4,3.3,4.8,0.7,0.4,0.3,0.7,1.6,2013,0
Al Jefferson,28,Center,UTA,78.0,78,33.1,17.8,0.494,0.5,0.118,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,2013,0
Brandon Jennings,23,Guard,MIL,80.0,80,36.2,17.5,0.399,0.412,0.375,0.8190000000000001,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,2013,0
Amir Johnson,25,Forward,TOR,81.0,38,28.7,10.0,0.5539999999999999,0.5579999999999999,0.385,0.727,2.8,4.7,7.5,1.5,1.0,1.4,1.4,3.7,2013,0
Joe Johnson,31,Guard,BRK,72.0,72,36.7,16.3,0.423,0.452,0.375,0.82,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,2013,0
DeAndre Jordan,24,Center,LAC,82.0,82,24.5,8.8,0.643,0.643,0.0,0.386,2.6,4.7,7.2,0.3,0.6,1.4,1.2,2.3,2013,0
Chris Kaman,30,Center,DAL,66.0,52,20.7,10.5,0.507,0.508,0.0,0.7879999999999999,1.5,4.2,5.6,0.8,0.4,0.8,1.6,2.1,2013,0
Michael Kidd-Gilchrist,19,Forward,CHO,78.0,77,26.0,9.0,0.458,0.462,0.222,0.7490000000000001,1.7,4.2,5.8,1.5,0.7,0.9,1.3,2.1,2013,0
Andrei Kirilenko,31,Forward,MIN,64.0,64,31.8,12.4,0.507,0.5660000000000001,0.292,0.752,1.6,4.1,5.7,2.8,1.5,1.0,1.9,1.3,2013,0
Brandon Knight,21,Guard,DET,75.0,75,31.5,13.3,0.407,0.43,0.3670000000000001,0.733,0.7,2.6,3.3,4.0,0.8,0.1,2.7,2.1,2013,0
Kyle Korver,31,Forward,ATL,74.0,60,30.5,10.9,0.461,0.471,0.457,0.8590000000000001,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,2013,0
Carl Landry,29,Forward,GSW,81.0,2,23.2,10.8,0.54,0.541,0.333,0.8170000000000001,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,2013,0
Ty Lawson,25,Guard,DEN,73.0,71,34.4,16.7,0.461,0.491,0.366,0.7559999999999999,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,2013,0
David Lee,29,Forward,GSW,79.0,79,36.8,18.5,0.519,0.521,0.0,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,2013,0
Kawhi Leonard,21,Forward,SAS,58.0,57,31.2,11.9,0.494,0.5539999999999999,0.374,0.825,1.1,4.9,6.0,1.6,1.7,0.6,1.1,1.7,2013,0
Damian Lillard,22,Guard,POR,82.0,82,38.6,19.0,0.429,0.469,0.368,0.8440000000000001,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,2013,0
Jeremy Lin,24,Guard,HOU,82.0,82,32.2,13.4,0.441,0.483,0.339,0.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,2013,0
Brook Lopez,24,Center,BRK,74.0,74,30.4,19.4,0.521,0.522,0.0,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,2013,0
Robin Lopez,24,Center,NOP,82.0,82,26.0,11.3,0.534,0.534,0.0,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,2013,0
Kyle Lowry,26,Guard,TOR,68.0,52,29.7,11.6,0.401,0.433,0.362,0.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,2013,0
Shawn Marion,34,Forward,DAL,67.0,67,30.0,12.1,0.514,0.5379999999999999,0.315,0.782,2.2,5.7,7.8,2.4,1.1,0.7,1.5,1.7,2013,0
Kevin Martin,29,Guard,OKC,77.0,0,27.7,14.0,0.45,0.472,0.426,0.89,0.4,1.9,2.3,1.4,0.9,0.1,1.3,1.8,2013,0
Wesley Matthews,26,Guard,POR,69.0,69,34.8,14.8,0.436,0.478,0.398,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,2013,0
O.J. Mayo,25,Guard,DAL,82.0,82,35.5,15.3,0.449,0.471,0.407,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,2013,0
JaVale McGee,25,Center,DEN,79.0,0,18.1,9.1,0.575,0.574,1.0,0.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,2013,0
C.J. Miles,25,Forward,CLE,65.0,13,21.0,11.2,0.415,0.451,0.384,0.8690000000000001,0.4,2.3,2.7,1.0,0.8,0.3,1.1,2.1,2013,0
Andre Miller,36,Guard,DEN,82.0,11,26.2,9.6,0.479,0.504,0.266,0.84,0.7,2.2,2.9,5.9,0.9,0.1,2.1,1.9,2013,0
Paul Millsap,27,Forward,UTA,78.0,78,30.4,14.6,0.49,0.498,0.333,0.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,2013,0
Greg Monroe,22,Center,DET,81.0,81,33.2,16.0,0.486,0.488,0.0,0.6890000000000001,2.9,6.7,9.6,3.5,1.3,0.7,2.9,2.3,2013,0
Byron Mullens,23,Forward,CHO,53.0,41,26.9,10.6,0.385,0.425,0.317,0.6459999999999999,1.3,5.0,6.4,1.5,0.6,0.6,1.4,2.1,2013,0
Steve Nash,38,Guard,LAL,50.0,50,32.5,12.7,0.4970000000000001,0.519,0.438,0.922,0.5,2.3,2.8,6.7,0.6,0.1,2.5,1.4,2013,0
Gary Neal,28,Guard,SAS,68.0,17,21.8,9.5,0.412,0.454,0.355,0.865,0.2,1.9,2.1,1.9,0.4,0.0,1.0,1.4,2013,0
Jameer Nelson,30,Guard,ORL,56.0,56,35.3,14.7,0.392,0.435,0.341,0.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,2013,0
Joakim Noah,27,Center,CHI,66.0,64,36.8,11.9,0.481,0.485,0.0,0.7509999999999999,3.9,7.2,11.1,4.0,1.2,2.1,2.7,2.8,2013,0
Dirk Nowitzki,34,Forward,DAL,53.0,47,31.3,17.3,0.471,0.487,0.414,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,2013,0
Emeka Okafor,30,Center,WAS,79.0,77,26.0,9.7,0.477,0.477,0.0,0.5710000000000001,2.5,6.2,8.8,1.2,0.6,1.0,1.4,1.8,2013,0
Tony Parker,30,Guard,SAS,66.0,66,32.9,20.3,0.522,0.534,0.353,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,2013,0
Chandler Parsons,24,Forward,HOU,76.0,76,36.3,15.5,0.486,0.5589999999999999,0.385,0.7290000000000001,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,2013,0
Patrick Patterson,23,Forward,TOT,71.0,41,25.0,10.4,0.512,0.546,0.386,0.762,1.6,3.2,4.7,1.1,0.4,0.6,0.9,1.9,2013,0
Chris Paul,27,Guard,LAC,70.0,70,33.4,16.9,0.481,0.5379999999999999,0.328,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,2013,1
Nikola Pekovic,27,Center,MIN,62.0,62,31.6,16.3,0.52,0.52,0.0,0.7440000000000001,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,2013,0
Paul Pierce,35,Forward,BOS,77.0,77,33.4,18.6,0.436,0.466,0.38,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,2013,0
Tayshaun Prince,32,Forward,TOT,82.0,81,32.1,10.4,0.438,0.442,0.404,0.738,0.9,3.6,4.4,2.4,0.6,0.3,1.1,1.0,2013,0
Zach Randolph,31,Forward,MEM,76.0,75,34.3,15.4,0.46,0.469,0.087,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,2013,0
J.J. Redick,28,Guard,TOT,78.0,13,30.5,14.1,0.434,0.506,0.366,0.9,0.2,2.0,2.2,3.8,0.5,0.1,1.8,1.5,2013,0
Jason Richardson,32,Guard,PHI,33.0,33,28.4,10.5,0.402,0.462,0.341,0.606,0.6,3.3,3.8,1.5,1.2,0.5,0.8,1.7,2013,0
Luke Ridnour,31,Guard,MIN,82.0,82,30.2,11.5,0.453,0.503,0.311,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,2013,0
Nate Robinson,28,Guard,CHI,82.0,23,25.4,13.1,0.433,0.45,0.405,0.799,0.4,1.9,2.2,4.4,1.0,0.1,1.8,2.5,2013,0
Rajon Rondo,26,Guard,BOS,38.0,38,37.4,13.7,0.484,0.513,0.24,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,2013,0
Ricky Rubio,22,Guard,MIN,57.0,47,29.7,10.7,0.36,0.374,0.293,0.799,0.8,3.2,4.0,7.3,2.4,0.1,3.0,2.5,2013,0
John Salmons,33,Forward,SAC,76.0,72,30.0,8.8,0.399,0.42,0.371,0.773,0.4,2.3,2.7,3.0,0.7,0.3,1.1,1.9,2013,0
Larry Sanders,24,Center,MIL,71.0,55,27.3,9.8,0.506,0.507,0.0,0.618,3.2,6.3,9.5,1.2,0.7,2.8,1.2,3.3,2013,0
Luis Scola,32,Forward,PHO,82.0,67,26.6,12.8,0.472,0.477,0.188,0.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,2013,0
Kevin Séraphin,23,Center,WAS,79.0,8,21.8,9.1,0.461,0.461,0.0,0.693,1.4,3.0,4.4,0.7,0.3,0.7,1.6,2.7,2013,0
Ramon Sessions,26,Guard,CHO,61.0,0,27.1,14.4,0.408,0.4270000000000001,0.308,0.8390000000000001,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,2013,0
Alexey Shved,24,Guard,MIN,77.0,16,23.9,8.6,0.3720000000000001,0.435,0.295,0.72,0.5,1.7,2.3,3.7,0.7,0.4,1.9,1.5,2013,0
Kyle Singler,24,Forward,DET,82.0,74,28.0,8.8,0.428,0.464,0.35,0.8059999999999999,1.3,2.7,4.0,0.9,0.7,0.5,1.2,2.6,2013,0
J.R. Smith,27,Guard,NYK,80.0,0,33.5,18.1,0.422,0.458,0.35600000000000004,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,2013,0
Josh Smith,27,Forward,ATL,76.0,76,35.3,17.5,0.465,0.498,0.303,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,2013,0
Tiago Splitter,28,Forward,SAS,81.0,58,24.7,10.3,0.56,0.561,0.0,0.73,1.8,4.6,6.4,1.6,0.8,0.8,1.2,2.0,2013,0
Lance Stephenson,22,Guard,IND,78.0,72,29.2,8.8,0.46,0.52,0.33,0.652,0.6,3.3,3.9,2.9,1.0,0.2,1.4,2.1,2013,0
Amar'e Stoudemire,30,Forward,NYK,29.0,0,23.5,14.2,0.5770000000000001,0.5770000000000001,0.0,0.8079999999999999,2.1,2.9,5.0,0.4,0.3,0.7,1.7,3.1,2013,0
Rodney Stuckey,26,Guard,DET,76.0,24,28.6,11.5,0.406,0.44,0.302,0.7829999999999999,0.6,2.2,2.8,3.6,0.7,0.2,1.8,1.7,2013,0
Jeff Teague,24,Guard,ATL,80.0,78,32.9,14.6,0.451,0.482,0.359,0.8809999999999999,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,2013,0
Jason Terry,35,Guard,BOS,79.0,24,26.9,10.1,0.434,0.498,0.3720000000000001,0.87,0.2,1.8,2.0,2.5,0.8,0.1,1.3,1.4,2013,0
Isaiah Thomas,23,Guard,SAC,79.0,62,26.9,13.9,0.44,0.491,0.358,0.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,2.1,2013,0
Jason Thompson,26,Forward,SAC,82.0,81,27.9,10.9,0.502,0.504,0.0,0.6940000000000001,2.1,4.6,6.7,1.0,0.6,0.7,1.2,2.8,2013,0
Klay Thompson,22,Guard,GSW,82.0,82,35.8,16.6,0.422,0.4370000000000001,0.401,0.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,2013,0
Tristan Thompson,21,Forward,CLE,82.0,82,31.3,11.7,0.488,0.49,0.0,0.608,3.7,5.7,9.4,1.3,0.7,0.9,1.5,2.9,2013,0
Marcus Thornton,25,Guard,SAC,72.0,8,24.0,12.7,0.429,0.484,0.3720000000000001,0.8809999999999999,0.7,1.8,2.5,1.3,0.8,0.1,0.9,1.5,2013,0
Evan Turner,24,Forward,PHI,82.0,82,35.3,13.3,0.419,0.428,0.365,0.74,0.7,5.6,6.3,4.3,0.9,0.2,2.3,2.4,2013,0
Jonas Valanciūnas,20,Center,TOR,62.0,57,23.9,8.9,0.557,0.557,0.0,0.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,2013,0
Greivis Vásquez,26,Guard,NOP,78.0,78,34.4,13.9,0.433,0.462,0.342,0.805,0.6,3.8,4.3,9.0,0.8,0.1,3.2,2.4,2013,0
Nikola Vucevic,22,Center,ORL,77.0,77,33.2,13.1,0.519,0.52,0.0,0.6829999999999999,3.5,8.4,11.9,1.9,0.8,1.0,1.8,2.8,2013,0
Dwyane Wade,31,Guard,MIA,69.0,69,34.7,21.2,0.521,0.537,0.258,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,2013,0
Dion Waiters,21,Guard,CLE,61.0,48,28.8,14.7,0.412,0.446,0.31,0.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,2013,0
Kemba Walker,22,Guard,CHO,82.0,82,34.9,17.7,0.423,0.459,0.322,0.7979999999999999,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,2013,0
John Wall,22,Guard,WAS,49.0,42,32.7,18.5,0.441,0.452,0.267,0.804,0.7,3.3,4.0,7.6,1.3,0.8,3.2,2.4,2013,0
Martell Webster,26,Forward,WAS,76.0,62,28.9,11.4,0.442,0.463,0.422,0.848,0.7,3.2,3.9,1.9,0.6,0.2,1.2,2.2,2013,0
David West,32,Forward,IND,73.0,73,33.4,17.1,0.498,0.503,0.211,0.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,2.0,2013,0
Russell Westbrook,24,Guard,OKC,82.0,82,34.9,23.2,0.438,0.466,0.32299999999999995,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,2013,0
Deron Williams,28,Guard,BRK,78.0,78,36.4,18.9,0.44,0.482,0.378,0.8590000000000001,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,2013,0
Derrick Williams,21,Forward,MIN,78.0,56,24.6,12.0,0.43,0.463,0.332,0.706,1.2,4.3,5.5,0.6,0.6,0.5,1.3,1.6,2013,0
Lou Williams,26,Guard,ATL,39.0,9,28.7,14.1,0.422,0.466,0.3670000000000001,0.868,0.2,1.8,2.1,3.6,1.1,0.3,1.9,1.4,2013,0
Mo Williams,30,Guard,UTA,46.0,46,30.8,12.9,0.43,0.449,0.383,0.882,0.5,1.9,2.4,6.2,1.0,0.2,2.7,2.3,2013,0
Metta World Peace,33,Forward,LAL,75.0,66,33.7,12.4,0.403,0.464,0.342,0.7340000000000001,1.3,3.6,5.0,1.5,1.6,0.6,1.3,2.6,2013,0
Brandan Wright,25,Center,DAL,64.0,16,18.0,8.5,0.597,0.601,0.0,0.615,1.3,2.7,4.1,0.6,0.4,1.2,0.5,1.2,2013,0
Dorell Wright,27,Forward,PHI,79.0,8,22.6,9.2,0.396,0.429,0.374,0.851,0.5,3.3,3.8,1.9,0.8,0.4,0.8,1.2,2013,0
Nick Young,27,Guard,PHI,59.0,17,23.9,10.6,0.413,0.449,0.35700000000000004,0.82,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,2013,0
Thaddeus Young,24,Forward,PHI,76.0,76,34.6,14.8,0.531,0.535,0.125,0.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,2.5,2013,0
Arron Afflalo,28,Guard,ORL,73.0,73,35.0,18.2,0.459,0.473,0.4270000000000001,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,2014,0
LaMarcus Aldridge,28,Forward,POR,69.0,69,36.2,23.2,0.458,0.461,0.2,0.8220000000000001,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,2014,0
Ray Allen,38,Guard,MIA,73.0,9,26.5,9.6,0.442,0.53,0.375,0.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,2014,0
Tony Allen,32,Guard,MEM,55.0,28,23.2,9.0,0.494,0.527,0.234,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,2014,0
James Anderson,24,Guard,PHI,80.0,62,28.9,10.1,0.431,0.53,0.328,0.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,2014,0
Carmelo Anthony,29,Forward,NYK,77.0,77,38.7,27.4,0.452,0.469,0.402,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,2014,0
Trevor Ariza,28,Forward,WAS,77.0,77,35.4,14.4,0.456,0.509,0.407,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,2014,0
D.J. Augustin,26,Guard,TOT,71.0,9,27.3,13.1,0.415,0.4270000000000001,0.401,0.885,0.2,1.6,1.8,4.4,0.7,0.0,1.8,2.1,2014,0
J.J. Barea,29,Guard,MIN,79.0,1,18.6,8.4,0.387,0.426,0.316,0.79,0.2,1.7,1.9,3.8,0.3,0.0,1.6,1.6,2014,0
Andrea Bargnani,28,Center,NYK,42.0,39,29.9,13.3,0.442,0.487,0.278,0.8240000000000001,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,2014,0
Harrison Barnes,21,Forward,GSW,78.0,24,28.3,9.5,0.399,0.419,0.34700000000000003,0.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,2014,0
Matt Barnes,33,Forward,LAC,63.0,40,27.5,9.9,0.438,0.5489999999999999,0.343,0.733,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,2014,0
Brandon Bass,28,Forward,BOS,82.0,73,27.6,11.1,0.486,0.487,0.333,0.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,2014,0
Nicolas Batum,25,Forward,POR,82.0,82,36.0,13.0,0.465,0.5660000000000001,0.361,0.8029999999999999,1.4,6.0,7.5,5.1,0.9,0.7,2.5,1.9,2014,0
Jerryd Bayless,25,Guard,TOT,72.0,19,23.4,9.3,0.402,0.425,0.358,0.797,0.3,1.7,2.0,2.7,0.8,0.1,1.1,2.2,2014,0
Bradley Beal,20,Guard,WAS,73.0,73,34.7,17.1,0.419,0.426,0.402,0.7879999999999999,0.7,3.0,3.7,3.3,1.0,0.2,1.8,2.1,2014,0
Marco Belinelli,27,Forward,SAS,80.0,25,25.2,11.4,0.485,0.525,0.43,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,2014,0
Patrick Beverley,25,Guard,HOU,56.0,55,31.3,10.2,0.414,0.473,0.361,0.8140000000000001,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,2014,0
Andray Blatche,27,Forward,BRK,73.0,7,22.2,11.2,0.476,0.494,0.278,0.742,1.6,3.7,5.3,1.5,1.0,0.5,1.5,2.3,2014,0
Eric Bledsoe,24,Guard,PHO,43.0,40,32.9,17.7,0.477,0.517,0.35700000000000004,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,2014,0
Carlos Boozer,32,Forward,CHI,76.0,76,28.2,13.7,0.456,0.457,0.0,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2.0,2.8,2014,0
Chris Bosh,29,Center,MIA,79.0,79,32.0,16.2,0.516,0.569,0.339,0.82,1.2,5.4,6.6,1.1,1.0,1.0,1.6,2.4,2014,0
Avery Bradley,23,Guard,BOS,60.0,58,30.9,14.9,0.438,0.451,0.395,0.804,0.8,3.0,3.8,1.4,1.1,0.2,1.6,2.4,2014,0
Corey Brewer,27,Forward,MIN,81.0,81,32.2,12.3,0.481,0.552,0.28,0.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,2014,0
Aaron Brooks,29,Guard,TOT,72.0,12,21.6,9.0,0.401,0.411,0.387,0.8740000000000001,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2.0,2014,0
Trey Burke,21,Guard,UTA,70.0,68,32.3,12.8,0.38,0.41,0.33,0.903,0.5,2.4,3.0,5.7,0.6,0.1,1.9,2.1,2014,0
Alec Burks,22,Guard,UTA,78.0,12,28.1,14.0,0.457,0.48,0.35,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,2014,0
Caron Butler,33,Forward,TOT,56.0,13,25.3,10.5,0.394,0.395,0.394,0.84,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,2014,0
Jimmy Butler,24,Guard,CHI,67.0,67,38.7,13.1,0.397,0.457,0.28300000000000003,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,2014,0
Will Bynum,31,Guard,DET,56.0,3,18.8,8.7,0.428,0.446,0.32299999999999995,0.802,0.4,1.3,1.8,3.9,0.7,0.1,1.8,2.2,2014,0
José Calderón,32,Guard,DAL,81.0,81,30.5,11.4,0.456,0.464,0.449,0.825,0.4,2.0,2.4,4.7,0.9,0.1,1.3,1.7,2014,0
DeMarre Carroll,27,Forward,ATL,73.0,73,32.1,11.1,0.47,0.5479999999999999,0.362,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,2014,0
Vince Carter,37,Guard,DAL,81.0,0,24.4,11.9,0.407,0.418,0.394,0.821,0.8,2.7,3.5,2.6,0.8,0.4,1.3,2.6,2014,0
Michael Carter-Williams,22,Guard,PHI,70.0,70,34.5,16.7,0.405,0.44,0.264,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,2014,0
Mario Chalmers,27,Guard,MIA,73.0,73,29.8,9.8,0.454,0.5,0.385,0.742,0.6,2.4,2.9,4.9,1.6,0.2,2.2,2.9,2014,0
Tyson Chandler,31,Center,NYK,55.0,55,30.2,8.7,0.593,0.595,0.0,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,2014,0
Wilson Chandler,26,Forward,DEN,62.0,55,31.1,13.6,0.416,0.478,0.348,0.7240000000000001,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,2014,0
Darren Collison,26,Guard,LAC,80.0,35,25.9,11.4,0.467,0.501,0.376,0.857,0.6,1.8,2.4,3.7,1.2,0.2,1.7,1.9,2014,0
Mike Conley,26,Guard,MEM,73.0,73,33.5,17.2,0.45,0.484,0.361,0.815,0.6,2.4,2.9,6.0,1.5,0.2,2.1,1.9,2014,0
DeMarcus Cousins,23,Center,SAC,71.0,71,32.4,22.7,0.496,0.499,0.0,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,2014,0
Jamal Crawford,33,Guard,LAC,69.0,24,30.3,18.6,0.416,0.46,0.361,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2.0,1.7,2014,0
Jordan Crawford,25,Guard,TOT,81.0,35,23.0,11.0,0.415,0.471,0.316,0.8640000000000001,0.3,1.9,2.3,3.5,0.6,0.1,1.7,1.5,2014,0
Stephen Curry,25,Guard,GSW,78.0,78,36.5,24.0,0.471,0.509,0.424,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,2014,0
Anthony Davis,20,Forward,NOP,67.0,66,35.2,20.8,0.519,0.522,0.222,0.7909999999999999,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,2014,0
Glen Davis,28,Forward,TOT,68.0,44,24.4,9.4,0.457,0.459,0.364,0.693,1.6,3.6,5.2,1.1,0.9,0.4,1.1,2.3,2014,0
Luol Deng,28,Forward,TOT,63.0,63,35.1,16.0,0.431,0.468,0.302,0.7909999999999999,1.6,4.2,5.7,2.9,1.0,0.1,1.8,1.8,2014,0
DeMar DeRozan,24,Guard,TOR,79.0,79,38.2,22.7,0.429,0.451,0.305,0.8240000000000001,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,2014,0
Boris Diaw,31,Forward,SAS,79.0,24,25.0,9.1,0.521,0.5489999999999999,0.402,0.7390000000000001,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,2014,0
Goran Dragic,27,Guard,PHO,76.0,75,35.1,20.3,0.505,0.542,0.408,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,2.7,2014,0
Andre Drummond,20,Center,DET,81.0,81,32.3,13.5,0.623,0.625,0.0,0.418,5.4,7.8,13.2,0.4,1.2,1.6,1.4,3.4,2014,0
Tim Duncan,37,Center,SAS,74.0,74,29.2,15.1,0.49,0.493,0.0,0.731,2.1,7.6,9.7,3.0,0.6,1.9,2.1,1.8,2014,0
Mike Dunleavy,33,Forward,CHI,82.0,61,31.5,11.3,0.43,0.467,0.38,0.8540000000000001,0.6,3.6,4.2,2.3,0.8,0.6,1.3,2.0,2014,0
Kevin Durant,25,Forward,OKC,81.0,81,38.5,32.0,0.503,0.5489999999999999,0.391,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,2014,1
Monta Ellis,28,Guard,DAL,82.0,82,36.9,19.0,0.451,0.474,0.33,0.7879999999999999,0.5,3.1,3.6,5.7,1.7,0.3,3.2,2.4,2014,0
