Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played,won
Tyson Chandler,28,Center,DAL,74.0,74,27.8,10.1,0.654,0.654,0.0,0.732,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,2011,0
Wilson Chandler,23,Forward,TOT,72.0,49,33.3,15.3,0.45,0.501,0.35,0.807,1.0,4.6,5.7,1.7,0.7,1.3,1.4,2.8,2011,0
Darren Collison,23,Guard,IND,79.0,79,29.9,13.2,0.457,0.479,0.331,0.871,0.5,2.3,2.8,5.1,1.1,0.2,2.5,1.4,2011,0
Mike Conley,23,Guard,MEM,81.0,81,35.5,13.7,0.444,0.466,0.369,0.733,0.4,2.7,3.0,6.5,1.8,0.2,2.2,2.2,2011,0
DeMarcus Cousins,20,Center,SAC,81.0,62,28.5,14.1,0.43,0.435,0.16699999999999998,0.687,2.7,6.0,8.6,2.5,1.0,0.8,3.3,4.1,2011,0
Jamal Crawford,30,Guard,ATL,76.0,0,30.2,14.2,0.421,0.474,0.341,0.8540000000000001,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3,2011,0
Jordan Crawford,22,Guard,TOT,42.0,18,24.5,11.7,0.384,0.4270000000000001,0.258,0.8690000000000001,0.7,1.8,2.5,2.8,0.9,0.1,2.0,1.5,2011,0
Stephen Curry,22,Guard,GSW,74.0,74,33.6,18.6,0.48,0.498,0.442,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,2011,0
Baron Davis,31,Guard,TOT,58.0,44,28.4,13.1,0.417,0.458,0.339,0.7709999999999999,0.6,2.1,2.7,6.7,1.3,0.5,2.5,2.5,2011,0
Glen Davis,25,Center,BOS,78.0,13,29.5,11.7,0.448,0.454,0.133,0.736,1.3,4.2,5.4,1.2,1.0,0.4,1.1,3.0,2011,0
Carlos Delfino,28,Forward,MIL,49.0,40,32.4,11.5,0.39,0.415,0.37,0.8,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,2011,0
Luol Deng,25,Forward,CHI,82.0,82,39.1,17.4,0.46,0.506,0.345,0.753,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,2011,0
DeMar DeRozan,21,Guard,TOR,82.0,82,34.8,17.2,0.467,0.485,0.096,0.813,0.9,2.9,3.8,1.8,1.0,0.4,1.8,2.6,2011,0
Boris Diaw,28,Forward,CHO,82.0,82,33.9,11.3,0.4920000000000001,0.5529999999999999,0.345,0.6829999999999999,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,2011,0
Toney Douglas,24,Guard,NYK,81.0,9,24.3,10.6,0.416,0.46,0.373,0.794,0.8,2.2,3.0,3.0,1.1,0.0,1.1,2.2,2011,0
Jared Dudley,25,Forward,PHO,82.0,15,26.1,10.6,0.477,0.519,0.415,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,2011,0
Tim Duncan,34,Center,SAS,76.0,76,28.4,13.4,0.5,0.502,0.0,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,2011,0
Mike Dunleavy,30,Guard,IND,61.0,44,27.6,11.2,0.462,0.519,0.402,0.8,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,2011,0
Kevin Durant,22,Forward,OKC,78.0,78,38.9,27.7,0.462,0.504,0.35,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,2011,1
Monta Ellis,25,Guard,GSW,80.0,80,40.3,24.1,0.451,0.478,0.361,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,2011,0
