Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Jeff Adrien,24,PF,GSW,23,0,8.5,2.5,.426,.426,,.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2011
Arron Afflalo,25,SG,DEN,69,69,33.7,12.6,.498,.546,.423,.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,2011
Maurice Ager,26,SG,MIN,4,0,7.3,3.8,.545,.429,.750,,0.0,0.5,0.5,0.3,0.3,0.0,1.0,1.0,2011
Alexis Ajinça,22,C,TOT,34,2,10.0,4.2,.444,.475,.353,.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,2011
Solomon Alabi,22,C,TOR,12,0,4.9,0.5,.200,.200,,.000,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,2011
Cole Aldrich,22,C,OKC,18,0,7.9,1.0,.533,.533,,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,2011
LaMarcus Aldridge,25,PF,POR,81,81,39.6,21.8,.500,.505,.174,.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,2011
Malik Allen,32,PF,ORL,18,0,9.9,1.3,.355,.355,,.500,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,2011
Ray Allen*,35,SG,BOS,80,80,36.1,16.5,.491,.520,.444,.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,2011
Tony Allen,29,SG,MEM,72,31,20.8,8.9,.510,.527,.174,.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,2011
Al-Farouq Aminu,20,SF,LAC,81,14,17.9,5.6,.394,.437,.315,.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,2011
Lou Amundson,28,PF,GSW,46,7,15.0,4.3,.454,.454,,.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,2011
Chris Andersen,32,C,DEN,45,0,16.3,5.6,.599,.603,.000,.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,2011
David Andersen,30,PF,TOT,40,0,9.3,3.4,.463,.490,.348,.636,0.5,1.6,2.1,0.3,0.1,0.2,0.6,1.0,2011
James Anderson,21,SF,SAS,26,2,11.0,3.6,.383,.371,.391,.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,2011
Ryan Anderson,22,PF,ORL,64,14,22.3,10.6,.430,.500,.393,.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,2011
Carmelo Anthony,26,SF,TOT,77,77,35.7,25.6,.455,.470,.378,.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,2011
Joel Anthony,28,C,MIA,75,11,19.5,2.0,.535,.535,,.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2011
Gilbert Arenas,29,PG,TOT,70,16,25.7,10.8,.366,.423,.297,.784,0.3,2.4,2.7,3.9,1.1,0.3,2.5,2.7,2011
Trevor Ariza,25,SF,NOH,75,75,34.7,11.0,.398,.450,.303,.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,2011
Hilton Armstrong,26,C,TOT,53,2,9.2,1.7,.487,.486,.500,.485,0.8,1.7,2.5,0.3,0.3,0.4,0.5,1.6,2011
Carlos Arroyo,31,PG,TOT,64,43,18.5,4.8,.440,.436,.449,.830,0.3,1.3,1.6,2.0,0.3,0.0,0.9,1.1,2011
Darrell Arthur,22,PF,MEM,80,9,20.1,9.1,.497,.502,.000,.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,2011
Ömer Aşık,24,C,CHI,82,0,12.1,2.8,.553,.553,,.503,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2011
