Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Quincy Acy,23,SF,TOT,63,0,13.4,2.7,.468,.492,.267,.660,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2014
Steven Adams,20,C,OKC,81,20,14.8,3.3,.503,.503,,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,2014
Jeff Adrien,27,PF,TOT,53,12,18.1,6.8,.520,.520,,.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2.0,2014
Arron Afflalo,28,SG,ORL,73,73,35.0,18.2,.459,.473,.427,.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,2014
Alexis Ajinça,25,C,NOP,56,30,17.0,5.9,.546,.548,.000,.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,2014
Cole Aldrich,25,C,NYK,46,2,7.2,2.0,.541,.541,,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2014
LaMarcus Aldridge,28,PF,POR,69,69,36.2,23.2,.458,.461,.200,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,2014
Lavoy Allen,24,PF,TOT,65,2,16.5,4.7,.447,.460,.154,.660,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,2014
Ray Allen*,38,SG,MIA,73,9,26.5,9.6,.442,.530,.375,.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,2014
Tony Allen,32,SG,MEM,55,28,23.2,9.0,.494,.527,.234,.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,2014
Al-Farouq Aminu,23,SF,NOP,80,65,25.6,7.2,.474,.496,.271,.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,2014
Lou Amundson,31,PF,TOT,19,0,9.7,2.0,.500,.500,,.250,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2014
Chris Andersen,35,C,MIA,72,0,19.4,6.6,.644,.662,.250,.710,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,2014
Alan Anderson,31,SF,BRK,78,26,22.7,7.2,.400,.464,.339,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,2014
James Anderson,24,SG,PHI,80,62,28.9,10.1,.431,.530,.328,.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,2014
