Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Jeff Adrien,25,PF,HOU,8,0,7.9,2.6,.438,.438,,.583,0.6,2.1,2.8,0.1,0.0,0.3,0.3,1.6,2012
Arron Afflalo,26,SG,DEN,62,62,33.6,15.2,.471,.504,.398,.798,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,2012
Blake Ahearn,27,PG,UTA,4,0,7.5,2.5,.286,.400,.222,,0.0,0.5,0.5,0.3,0.0,0.0,1.3,1.0,2012
Solomon Alabi,23,C,TOR,14,0,8.7,2.4,.361,.361,,.875,1.1,2.3,3.4,0.2,0.1,0.6,0.4,0.8,2012
Cole Aldrich,23,C,OKC,26,0,6.7,2.2,.524,.524,,.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2012
LaMarcus Aldridge,26,PF,POR,55,55,36.3,21.7,.512,.516,.182,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,2012
Lavoy Allen,22,PF,PHI,41,15,15.2,4.1,.473,.473,,.786,1.1,3.0,4.2,0.8,0.3,0.4,0.5,1.8,2012
Ray Allen*,36,SG,BOS,46,42,34.0,14.2,.458,.463,.453,.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,2012
Tony Allen,30,SG,MEM,58,57,26.3,9.8,.469,.479,.308,.800,1.7,2.3,4.0,1.4,1.8,0.6,1.6,2.4,2012
Morris Almond,26,SG,WAS,4,0,16.8,3.5,.353,.357,.333,.333,0.3,1.8,2.0,0.5,1.8,0.0,0.3,1.5,2012
Al-Farouq Aminu,21,SF,NOH,66,21,22.4,6.0,.411,.431,.277,.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,2012
Lou Amundson,29,PF,IND,60,0,12.6,3.6,.430,.430,,.427,1.6,2.1,3.7,0.2,0.5,0.7,0.8,2.1,2012
Chris Andersen,33,C,DEN,32,1,15.2,5.3,.546,.546,,.610,1.5,3.1,4.6,0.2,0.6,1.4,0.5,1.6,2012
Alan Anderson,29,SF,TOR,17,12,27.1,9.6,.387,.383,.393,.853,0.5,1.5,2.0,1.5,0.3,0.2,1.5,2.1,2012
James Anderson,22,SG,SAS,51,2,11.8,3.7,.379,.443,.279,.750,0.3,1.2,1.5,0.8,0.2,0.0,0.6,0.7,2012
Ryan Anderson,23,PF,ORL,61,61,32.2,16.1,.439,.496,.393,.877,3.7,4.0,7.7,0.9,0.8,0.4,0.9,2.4,2012
Carmelo Anthony,27,SF,NYK,55,55,34.1,22.6,.430,.454,.335,.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,2012
Joel Anthony,29,C,MIA,64,51,21.1,3.4,.559,.559,,.690,1.6,2.3,3.9,0.1,0.6,1.3,0.7,2.0,2012
Gilbert Arenas,30,PG,MEM,17,0,12.4,4.2,.406,.520,.333,.700,0.1,0.9,1.1,1.1,0.6,0.1,0.7,2.1,2012
Trevor Ariza,26,SF,NOH,41,41,32.9,10.8,.417,.440,.333,.775,1.0,4.2,5.2,3.3,1.7,0.6,1.9,1.8,2012
Ömer Aşık,25,C,CHI,66,2,14.7,3.1,.506,.506,,.456,1.9,3.4,5.3,0.5,0.5,1.0,1.0,1.8,2012
D.J. Augustin,24,PG,CHA,48,46,29.3,11.1,.376,.396,.341,.875,0.5,1.8,2.3,6.4,0.8,0.0,2.3,1.4,2012
Gustavo Ayón,26,PF,NOH,54,24,20.1,5.9,.536,.538,.000,.619,1.6,3.3,4.9,1.4,1.0,0.9,0.9,2.2,2012
Jeff Ayres,24,C,IND,20,1,5.3,1.7,.417,.417,,.571,0.6,1.1,1.7,0.2,0.2,0.1,0.1,0.8,2012
Kelenna Azubuike,28,SG,DAL,3,0,6.0,2.3,.375,.400,.333,,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.3,2012
