Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Quincy Acy,25,PF,SAC,59,29,14.8,5.2,.556,.606,.388,.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,2016
Jordan Adams,21,SG,MEM,2,0,7.5,3.5,.333,.400,.000,.600,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,2016
Steven Adams,22,C,OKC,80,80,25.2,8.0,.613,.613,,.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,2016
Arron Afflalo,30,SG,NYK,71,57,33.4,12.8,.443,.469,.382,.840,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,2016
Alexis Ajinça,27,C,NOP,59,17,14.6,6.0,.476,.478,.000,.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,2016
Cole Aldrich,27,C,LAC,60,5,13.3,5.5,.596,.596,,.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,2016
LaMarcus Aldridge,30,PF,SAS,74,74,30.6,18.0,.513,.521,.000,.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,2016
Cliff Alexander,20,PF,POR,8,0,4.5,1.3,.500,.500,,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,2016
Lavoy Allen,26,PF,IND,79,28,20.2,5.4,.516,.516,,.630,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,2016
Tony Allen,34,SG,MEM,64,57,25.3,8.4,.458,.468,.357,.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,2016
Al-Farouq Aminu,25,SF,POR,82,82,28.5,10.2,.416,.468,.361,.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,2016
Lou Amundson,33,PF,NYK,29,0,7.0,1.8,.358,.358,,.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,2016
Chris Andersen,37,C,TOT,27,15,14.9,3.9,.528,.586,.286,.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,2016
Alan Anderson,33,SG,WAS,13,0,14.8,5.0,.356,.409,.324,.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,2016
James Anderson,26,SG,SAC,51,15,14.1,3.5,.376,.478,.267,.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,2016
