Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Álex Abrines,24,SG,OKC,75,8,15.1,4.7,.395,.443,.380,.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,2018
Quincy Acy,27,PF,BRK,70,8,19.4,5.9,.356,.384,.349,.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,2018
Steven Adams,24,C,OKC,76,76,32.7,13.9,.629,.631,.000,.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,2018
Bam Adebayo,20,C,MIA,69,19,19.8,6.9,.512,.523,.000,.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,2018
Arron Afflalo,32,SG,ORL,53,3,12.9,3.4,.401,.413,.386,.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,2018
Cole Aldrich,29,C,MIN,21,0,2.3,0.6,.333,.333,,.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,2018
LaMarcus Aldridge,32,C,SAS,75,75,33.5,23.1,.510,.526,.293,.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,2018
Jarrett Allen,19,C,BRK,72,31,20.0,8.2,.589,.599,.333,.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,2018
Kadeem Allen,25,PG,BOS,18,1,5.9,1.1,.273,.545,.000,.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,2018
Tony Allen,36,SF,NOP,22,0,12.4,4.7,.484,.506,.333,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,2018
Al-Farouq Aminu,27,PF,POR,69,67,30.0,9.3,.395,.432,.369,.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,2018
Justin Anderson,24,SF,PHI,38,0,13.7,6.2,.431,.535,.330,.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,2018
Kyle Anderson,24,SF,SAS,74,67,26.7,7.9,.527,.556,.333,.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,2018
Ryan Anderson,29,PF,HOU,66,50,26.1,9.3,.431,.539,.386,.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,2018
Ike Anigbogu,19,C,IND,11,0,2.7,1.2,.444,.444,,.833,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,2018
Giannis Antetokounmpo,23,PF,MIL,75,75,36.7,26.9,.529,.554,.307,.760,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,2018
Carmelo Anthony,33,PF,OKC,78,78,32.1,16.2,.404,.437,.357,.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,2018
OG Anunoby,20,SF,TOR,74,62,20.0,5.9,.471,.604,.371,.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,2018
Ryan Arcidiacono,23,PG,CHI,24,0,12.7,2.0,.415,.800,.290,.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2018
Trevor Ariza,32,SF,HOU,67,67,33.9,11.7,.412,.519,.368,.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,2018
Darrell Arthur,29,PF,DEN,19,1,7.4,2.8,.468,.583,.348,.667,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2018
Jamel Artis,25,SG,ORL,15,1,18.6,5.1,.392,.460,.276,.583,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,2018
Ömer Aşık,31,C,TOT,18,0,10.1,1.2,.409,.409,,.308,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,2018
D.J. Augustin,30,PG,ORL,75,36,23.5,10.2,.452,.485,.419,.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,2018
Luke Babbitt,28,SF,TOT,50,14,14.3,5.2,.423,.525,.385,.773,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,2018
