Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Álex Abrines,23,SG,OKC,68,6,15.5,6.0,.393,.426,.381,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,2017
Quincy Acy,26,PF,TOT,38,1,14.7,5.8,.412,.413,.411,.750,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,2017
Steven Adams,23,C,OKC,80,80,29.9,11.3,.571,.572,.000,.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,2017
Arron Afflalo,31,SG,SAC,61,45,25.9,8.4,.440,.457,.411,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,2017
Alexis Ajinça,28,C,NOP,39,15,15.0,5.3,.500,.511,.000,.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,2017
Cole Aldrich,28,C,MIN,62,0,8.6,1.7,.523,.523,,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,2017
LaMarcus Aldridge,31,PF,SAS,72,72,32.4,17.3,.477,.480,.411,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,2017
Lavoy Allen,27,PF,IND,61,5,14.3,2.9,.458,.461,.000,.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2017
Tony Allen,35,SG,MEM,71,66,27.0,9.1,.461,.479,.278,.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,2017
Al-Farouq Aminu,26,PF,POR,61,25,29.1,8.7,.393,.445,.330,.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,2017
Chris Andersen,38,C,CLE,12,0,9.5,2.3,.409,.474,.000,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2017
Alan Anderson,34,SF,LAC,30,0,10.3,2.9,.375,.444,.318,.750,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2017
Justin Anderson,23,SF,TOT,75,10,16.4,7.1,.424,.522,.299,.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,2017
Kyle Anderson,23,SF,SAS,72,14,14.2,3.4,.445,.462,.375,.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,2017
Ryan Anderson,28,PF,HOU,72,72,29.4,13.6,.418,.446,.403,.860,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,2017
Giannis Antetokounmpo,22,SF,MIL,80,80,35.6,22.9,.521,.563,.272,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,2017
Carmelo Anthony,32,SF,NYK,74,74,34.3,22.4,.433,.466,.359,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,2017
Joel Anthony,34,C,SAS,19,0,6.4,1.3,.625,.625,,.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,2017
Trevor Ariza,31,SF,HOU,80,80,34.7,11.7,.409,.556,.344,.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,2017
Darrell Arthur,28,PF,DEN,41,7,15.6,6.4,.442,.429,.453,.864,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,2017
Ömer Aşık,30,C,NOP,31,19,15.5,2.7,.477,.477,,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2017
