Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Precious Achiuwa,21,PF,MIA,61,4,12.1,5.0,.544,.546,.000,.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,2021
Jaylen Adams,24,PG,MIL,7,0,2.6,0.3,.125,.167,.000,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,2021
Steven Adams,27,C,NOP,58,58,27.7,7.6,.614,.620,.000,.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,2021
Bam Adebayo,23,C,MIA,64,64,33.5,18.7,.570,.573,.250,.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,2021
LaMarcus Aldridge,35,C,TOT,26,23,25.9,13.5,.473,.505,.388,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,2021
Ty-Shon Alexander,22,SG,PHO,15,0,3.1,0.6,.250,.333,.222,.500,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,2021
Nickeil Alexander-Walker,22,SG,NOP,46,13,21.9,11.0,.419,.485,.347,.727,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,2021
Grayson Allen,25,SG,MEM,50,38,25.2,10.6,.418,.471,.391,.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,2021
Jarrett Allen,22,C,TOT,63,45,29.6,12.8,.618,.631,.316,.703,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,2021
Al-Farouq Aminu,30,PF,TOT,23,14,18.9,4.4,.384,.484,.216,.818,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,2021
Kyle Anderson,27,PF,MEM,69,69,27.3,12.4,.468,.539,.360,.783,0.8,5.0,5.7,3.6,1.2,0.8,1.2,1.7,2021
Giannis Antetokounmpo,26,PF,MIL,61,61,33.0,28.1,.569,.636,.303,.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,2021
Kostas Antetokounmpo,23,PF,LAL,15,0,3.7,0.8,.300,.300,,.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,2021
Thanasis Antetokounmpo,28,SF,MIL,57,3,9.7,2.9,.489,.556,.241,.510,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2021
Carmelo Anthony,36,PF,POR,69,3,24.5,13.4,.421,.429,.409,.890,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,2021
Cole Anthony,20,PG,ORL,47,34,27.1,12.9,.397,.424,.337,.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,2021
OG Anunoby,23,SF,TOR,43,43,33.3,15.9,.480,.562,.398,.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,2021
Ryan Arcidiacono,26,PG,CHI,44,0,10.2,3.1,.419,.480,.373,.650,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,2021
Trevor Ariza,35,SF,MIA,30,27,28.0,9.4,.411,.500,.350,.773,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,2021
D.J. Augustin,33,PG,TOT,57,12,19.8,7.7,.394,.413,.382,.904,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,2021
Deni Avdija,20,SF,WAS,54,32,23.3,6.3,.417,.535,.315,.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,2021
Deandre Ayton,22,C,PHO,69,69,30.7,14.4,.626,.639,.200,.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,2021
Udoka Azubuike,21,C,UTA,15,0,3.8,1.1,.444,.444,,.800,0.3,0.6,0.9,0.0,0.1,0.3,0.2,0.6,2021
Dwayne Bacon,25,SG,ORL,72,50,25.7,10.9,.402,.449,.285,.824,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,2021
Marvin Bagley III,21,PF,SAC,43,42,25.9,14.1,.504,.550,.343,.575,2.5,4.9,7.4,1.0,0.5,0.5,1.4,2.3,2021
LaMelo Ball,19,PG,CHO,51,31,28.8,15.7,.436,.489,.352,.758,1.2,4.7,5.9,6.1,1.6,0.4,2.8,2.7,2021
Lonzo Ball,23,PG,NOP,55,55,31.8,14.6,.414,.482,.378,.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,2021
Mo Bamba,22,C,ORL,46,5,15.8,8.0,.472,.568,.322,.682,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,2021
Desmond Bane,22,SG,MEM,68,17,22.3,9.2,.469,.513,.432,.816,0.5,2.6,3.1,1.7,0.6,0.2,0.9,1.8,2021
Harrison Barnes,28,PF,SAC,58,58,36.2,16.1,.497,.567,.391,.830,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,2021
RJ Barrett,20,SG,NYK,72,72,34.9,17.6,.441,.457,.401,.746,0.9,4.8,5.8,3.0,0.7,0.3,1.9,2.6,2021
Will Barton,30,SF,DEN,56,52,31.0,12.7,.426,.459,.381,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,2021
Keita Bates-Diop,25,SF,SAS,30,0,8.2,2.6,.448,.500,.294,.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2021
Nicolas Batum,32,SF,LAC,67,38,27.4,8.1,.464,.579,.404,.828,0.7,4.0,4.7,2.2,1.0,0.6,0.8,1.5,2021
Aron Baynes,34,C,TOR,53,31,18.5,6.1,.441,.532,.262,.707,1.6,3.5,5.2,0.9,0.3,0.4,0.9,2.2,2021
Kent Bazemore,31,SF,GSW,67,18,19.9,7.2,.449,.486,.408,.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,2021
Darius Bazley,20,PF,OKC,55,55,31.2,13.7,.396,.470,.290,.702,0.9,6.3,7.2,1.8,0.5,0.5,2.2,1.1,2021
Bradley Beal,27,SG,WAS,60,60,35.8,31.3,.485,.535,.349,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,2021
Malik Beasley,24,SG,MIN,37,36,32.8,19.6,.440,.487,.399,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,2021
Jordan Bell,26,C,TOT,6,1,13.7,2.5,.318,.350,.000,.500,1.2,2.8,4.0,1.2,0.5,0.8,0.7,1.2,2021
DeAndre' Bembry,26,SF,TOR,51,12,19.1,5.7,.513,.589,.264,.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,2021
Dāvis Bertāns,28,PF,WAS,57,7,25.7,11.5,.404,.480,.395,.870,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,2021
Patrick Beverley,32,PG,LAC,37,34,22.5,7.5,.423,.468,.397,.800,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,2021
Saddiq Bey,21,SF,DET,70,53,27.3,12.2,.404,.450,.380,.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,2021
Tyler Bey,22,SF,DAL,18,0,3.9,1.0,.318,.333,.250,.600,0.4,0.6,1.1,0.2,0.0,0.1,0.2,0.3,2021
Khem Birch,28,C,TOT,67,22,22.8,7.2,.497,.537,.250,.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,2021
Goga Bitadze,21,C,IND,45,3,12.5,5.1,.428,.548,.253,.738,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,2021
Bismack Biyombo,28,C,CHO,66,36,20.4,5.0,.587,.589,.000,.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,2021
Nemanja Bjelica,32,PF,TOT,37,3,16.1,6.5,.454,.559,.318,.725,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,2021
Eric Bledsoe,31,SG,NOP,71,70,29.7,12.2,.421,.496,.341,.687,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,2021
Keljin Blevins,25,SF,POR,17,0,4.4,0.7,.250,.250,.250,,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.5,2021
Bogdan Bogdanović,28,SG,ATL,44,27,29.7,16.4,.473,.522,.438,.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,2021
Bojan Bogdanović,31,SF,UTA,72,72,30.8,17.0,.439,.487,.390,.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,2021
Bol Bol,21,PF,DEN,32,2,5.0,2.2,.431,.471,.375,.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2021
Marques Bolden,22,C,CLE,6,0,4.8,1.2,.333,.333,,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,2021
Jordan Bone,23,PG,ORL,14,0,14.0,4.0,.426,.591,.313,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,2021
Isaac Bonga,21,SF,WAS,40,8,10.8,2.0,.370,.500,.277,.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2021
Devin Booker,24,SG,PHO,67,67,33.9,25.6,.484,.543,.340,.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,2021
Chris Boucher,28,C,TOR,60,14,24.2,13.6,.514,.609,.383,.788,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,2021
Brian Bowen,22,SF,IND,6,0,2.5,0.5,.250,.333,.000,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,2021
Avery Bradley,30,SG,TOT,27,6,22.3,6.4,.374,.443,.327,.800,0.3,1.8,2.1,1.7,0.8,0.1,1.0,2.0,2021
Tony Bradley,23,C,TOT,42,8,16.3,7.1,.665,.675,.000,.691,2.0,3.7,5.7,0.9,0.4,0.7,0.8,1.5,2021
Jarrell Brantley,24,PF,UTA,28,0,4.9,2.3,.481,.542,.429,1.000,0.3,0.6,1.0,0.5,0.3,0.1,0.3,0.6,2021
Ignas Brazdeikis,22,SF,TOT,13,0,19.2,7.0,.422,.436,.393,.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,2021
Mikal Bridges,24,SF,PHO,72,72,32.6,13.5,.543,.647,.425,.840,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,2021
Miles Bridges,22,PF,CHO,66,19,29.3,12.7,.503,.593,.400,.867,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,2021
Amida Brimah,26,C,IND,5,0,5.8,2.6,.625,.625,,1.000,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2021
Oshae Brissett,22,SF,IND,21,16,24.7,10.9,.483,.548,.423,.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,2021
Malcolm Brogdon,28,PG,IND,56,56,34.5,21.2,.453,.493,.388,.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,2021
Armoni Brooks,22,SG,HOU,20,5,26.0,11.2,.406,.514,.382,.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,2021
Dillon Brooks,25,SF,MEM,67,67,29.8,17.2,.419,.461,.344,.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,2021
Bruce Brown,24,PG,BRK,65,37,22.3,8.8,.556,.599,.288,.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,2021
Charlie Brown Jr.,23,SG,OKC,9,1,16.9,4.4,.302,.364,.238,.900,0.3,1.6,1.9,1.0,0.4,0.2,0.7,2.1,2021
Jaylen Brown,24,SG,BOS,58,58,34.5,24.7,.484,.536,.397,.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,2021
Moses Brown,21,C,OKC,43,32,21.4,8.6,.545,.545,,.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,2021
Sterling Brown,25,SG,HOU,51,14,24.1,8.2,.448,.492,.423,.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,2021
Troy Brown Jr.,21,SF,TOT,34,0,15.4,4.7,.431,.541,.314,.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,2021
Jalen Brunson,24,PG,DAL,68,12,25.0,12.6,.523,.578,.405,.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,2021
Elijah Bryant,25,SG,MIL,1,0,32.0,16.0,.462,.625,.200,1.000,2.0,4.0,6.0,3.0,0.0,1.0,4.0,4.0,2021
Thomas Bryant,23,C,WAS,10,10,27.1,14.3,.648,.714,.429,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,2021
Reggie Bullock,29,SF,NYK,65,64,30.0,10.9,.442,.521,.410,.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,2021
Trey Burke,28,PG,DAL,62,1,14.7,6.6,.428,.492,.354,.895,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,2021
Alec Burks,29,SG,NYK,49,5,25.6,12.7,.420,.425,.415,.856,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,2021
Jimmy Butler,31,SF,MIA,52,52,33.6,21.5,.497,.538,.245,.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,2021
Bruno Caboclo,25,PF,HOU,6,0,6.0,2.8,.471,.667,.000,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2021
Devontae Cacok,24,PF,LAL,20,1,4.9,2.0,.586,.586,,.455,0.6,1.0,1.6,0.1,0.3,0.2,0.3,0.4,2021
Kentavious Caldwell-Pope,27,SG,LAL,67,67,28.4,9.7,.431,.460,.410,.866,0.4,2.3,2.7,1.9,0.9,0.4,1.0,1.7,2021
Facundo Campazzo,29,PG,DEN,65,19,21.9,6.1,.381,.444,.352,.879,0.3,1.7,2.1,3.6,1.2,0.2,1.1,2.0,2021
Vlatko Čančar,23,PF,DEN,41,1,6.9,2.1,.458,.615,.273,.769,0.3,1.0,1.2,0.3,0.3,0.0,0.3,0.4,2021
Devin Cannady,24,PG,ORL,8,0,9.3,4.3,.393,.417,.375,.857,0.0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,2021
Clint Capela,26,C,ATL,63,63,30.1,15.2,.594,.594,,.573,4.7,9.6,14.3,0.8,0.7,2.0,1.2,2.3,2021
Vernon Carey Jr.,19,C,CHO,19,4,6.1,2.4,.500,.586,.143,.818,0.3,1.1,1.4,0.1,0.1,0.3,0.3,0.7,2021
Jevon Carter,25,PG,PHO,60,1,12.0,4.1,.422,.528,.371,.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,2021
Wendell Carter Jr.,21,C,TOT,54,44,25.5,11.2,.503,.530,.294,.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,2021
Michael Carter-Williams,29,SG,ORL,31,25,25.8,8.8,.389,.431,.246,.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,2021
Alex Caruso,26,PG,LAL,58,6,21.0,6.4,.436,.464,.401,.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,2021
Willie Cauley-Stein,27,C,DAL,53,16,17.1,5.3,.632,.667,.091,.628,1.2,3.2,4.5,0.7,0.4,0.8,0.5,2.4,2021
Chris Chiozza,25,PG,BRK,22,1,10.5,4.0,.352,.391,.310,.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,2021
Marquese Chriss,23,PF,GSW,2,0,13.5,6.5,.357,.444,.200,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,2021
Gary Clark,26,PF-SF,TOT,39,11,16.8,3.1,.303,.375,.287,.800,0.8,2.1,2.9,0.8,0.3,0.2,0.4,0.9,2021
Brandon Clarke,24,PF,MEM,59,16,24.0,10.3,.517,.565,.260,.690,1.6,3.9,5.6,1.6,1.0,0.9,0.6,1.4,2021
Jordan Clarkson,28,SG,UTA,68,1,26.7,18.4,.425,.523,.347,.896,0.7,3.3,4.0,2.5,0.9,0.1,1.7,1.6,2021
Nic Claxton,21,C,BRK,32,1,18.6,6.6,.621,.636,.200,.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,2021
Amir Coffey,23,SG,LAC,44,1,9.0,3.2,.437,.468,.411,.711,0.2,0.8,1.0,0.5,0.2,0.0,0.3,0.7,2021
John Collins,23,PF,ATL,63,63,29.3,17.6,.556,.615,.399,.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,2021
