Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Isaiah Hartenstein,21,C,HOU,23,2,11.6,4.7,.657,.710,.000,.679,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,2020
Udonis Haslem,39,C,MIA,4,1,11.0,3.0,.364,.375,.333,.750,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,2020
Jaxson Hayes,19,C,NOP,64,14,16.9,7.4,.672,.678,.250,.647,1.5,2.5,4.0,0.9,0.4,0.9,0.8,2.5,2020
Gordon Hayward,29,SF,BOS,52,52,33.5,17.5,.500,.554,.383,.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,2020
John Henson,29,C,TOT,40,8,15.0,5.5,.556,.644,.222,.500,1.2,2.9,4.1,1.4,0.6,1.1,0.9,2.0,2020
Dewan Hernandez,23,C,TOR,6,0,4.7,2.3,.357,.333,.500,.600,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2020
Juancho Hernangómez,24,PF,TOT,48,14,17.4,6.0,.405,.475,.341,.620,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,2020
Willy Hernangómez,25,C,CHO,31,0,12.1,6.1,.532,.590,.227,.627,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,2020
Tyler Herro,20,SG,MIA,55,8,27.4,13.5,.428,.462,.389,.870,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,2020
Kevin Hervey,23,PF,OKC,10,0,5.2,1.7,.259,.571,.150,,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,2020
Mario Hezonja,24,PF,POR,53,4,16.4,4.8,.422,.486,.308,.814,0.6,2.9,3.5,0.9,0.7,0.2,0.8,2.0,2020
Buddy Hield,27,SG,SAC,72,44,30.8,19.2,.429,.479,.394,.846,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,2020
George Hill,33,PG,MIL,59,2,21.5,9.4,.516,.565,.460,.842,0.8,2.2,3.0,3.1,0.8,0.1,1.0,1.4,2020
Solomon Hill,28,PF,TOT,59,4,18.4,5.5,.396,.439,.368,.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,2020
Jaylen Hoard,20,PF,POR,13,0,7.9,2.9,.469,.517,.000,.615,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2020
Aaron Holiday,23,PG,IND,66,33,24.5,9.5,.414,.427,.394,.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,2020
Jrue Holiday,29,SG,NOP,61,61,34.7,19.1,.455,.509,.353,.709,1.3,3.5,4.8,6.7,1.6,0.8,3.0,2.4,2020
Justin Holiday,30,SF,IND,73,6,25.0,8.3,.428,.477,.405,.791,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,2020
Rondae Hollis-Jefferson,25,PF,TOR,60,6,18.7,7.0,.471,.497,.130,.734,1.8,2.9,4.7,1.8,0.8,0.4,1.0,1.9,2020
Richaun Holmes,26,C,SAC,44,38,28.2,12.3,.648,.648,,.788,2.9,5.3,8.1,1.0,0.9,1.3,1.2,3.8,2020
Rodney Hood,27,SF,POR,21,21,29.5,11.0,.506,.515,.493,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,2020
Al Horford,33,C,PHI,67,61,30.2,11.9,.450,.516,.350,.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,2020
Talen Horton-Tucker,19,SG,LAL,6,1,13.5,5.7,.467,.588,.308,.500,0.3,0.8,1.2,1.0,1.3,0.2,1.0,1.7,2020
Danuel House Jr.,26,SF,HOU,63,52,30.4,10.5,.427,.549,.363,.811,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,2020
Dwight Howard,34,C,LAL,69,2,18.9,7.5,.729,.732,.600,.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,2020
William Howard,26,PF,HOU,2,0,6.5,0.0,.000,,.000,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,2020
Kevin Huerter,21,SG,ATL,56,48,31.4,12.2,.413,.453,.380,.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,2020
De'Andre Hunter,22,SF,ATL,63,62,32.0,12.3,.410,.454,.355,.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,2020
