Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Quincy Acy,24,PF,NYK,68,22,18.9,5.9,.459,.494,.300,.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,2015
Jordan Adams,20,SG,MEM,30,0,8.3,3.1,.407,.410,.400,.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,2015
Steven Adams,21,C,OKC,70,67,25.3,7.7,.544,.547,.000,.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,2015
Jeff Adrien,28,PF,MIN,17,0,12.6,3.5,.432,.432,,.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,2015
Arron Afflalo,29,SG,TOT,78,72,32.1,13.3,.424,.466,.354,.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,2015
Alexis Ajinça,26,C,NOP,68,8,14.1,6.5,.550,.550,,.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,2015
Furkan Aldemir,23,PF,PHI,41,9,13.2,2.3,.513,.548,.000,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2015
Cole Aldrich,26,C,NYK,61,16,16.0,5.5,.478,.478,,.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,2015
LaMarcus Aldridge,29,PF,POR,71,71,35.4,23.4,.466,.475,.352,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,2015
Lavoy Allen,25,C,IND,63,0,17.0,5.0,.472,.472,,.702,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,2015
Tony Allen,33,SG,MEM,63,41,26.2,8.6,.495,.505,.345,.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,2015
Al-Farouq Aminu,24,SF,DAL,74,3,18.5,5.6,.412,.485,.274,.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,2015
Lou Amundson,32,PF,TOT,53,35,17.7,4.9,.427,.429,.000,.471,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,2015
Chris Andersen,36,C,MIA,60,20,18.9,5.3,.580,.598,.308,.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,2015
Alan Anderson,32,SG,BRK,74,19,23.6,7.4,.443,.530,.348,.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,2015
Kyle Anderson,21,SF,SAS,33,8,10.8,2.2,.348,.359,.273,.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2015
Ryan Anderson,26,PF,NOP,61,5,27.5,13.7,.399,.457,.340,.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,2015
Giannis Antetokounmpo,20,SG,MIL,81,71,31.4,12.7,.491,.511,.159,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,2015
Carmelo Anthony,30,SF,NYK,40,40,35.7,24.2,.444,.474,.341,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,2015
Joel Anthony,32,C,DET,49,0,8.3,1.8,.581,.581,,.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,2015
Pero Antić,32,C,ATL,63,3,16.5,5.7,.365,.455,.301,.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,2015
Trevor Ariza,29,SF,HOU,82,82,35.7,12.8,.402,.485,.350,.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,2015
Darrell Arthur,26,PF,DEN,58,4,17.0,6.6,.404,.471,.236,.780,0.9,2.0,2.9,1.0,0.8,0.4,0.8,2.5,2015
Ömer Aşık,28,C,NOP,76,76,26.1,7.3,.517,.517,,.582,3.2,6.6,9.8,0.9,0.4,0.7,1.3,1.9,2015
D.J. Augustin,27,PG,TOT,82,14,24.0,9.5,.399,.436,.337,.868,0.2,1.7,2.0,4.3,0.6,0.0,1.8,1.1,2015
Jeff Ayres,27,PF,SAS,51,0,7.5,2.7,.579,.579,,.750,0.7,1.6,2.3,0.3,0.2,0.2,0.5,1.2,2015
Luke Babbitt,25,SF,NOP,63,19,13.2,4.1,.479,.429,.513,.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1.0,2015
Cameron Bairstow,24,PF,CHI,18,1,3.6,0.6,.214,.214,,.800,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,2015
Leandro Barbosa,32,SG,GSW,66,1,14.9,7.1,.474,.511,.384,.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,2015
J.J. Barea,30,PG,DAL,77,10,17.7,7.5,.420,.463,.323,.809,0.3,1.4,1.7,3.4,0.4,0.0,0.9,1.4,2015
Andrea Bargnani,29,C,NYK,29,22,27.1,14.8,.454,.466,.366,.813,1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,2015
Harrison Barnes,22,SF,GSW,82,82,28.3,10.1,.482,.519,.405,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,2015
Matt Barnes,34,SF,LAC,76,74,29.9,10.1,.444,.569,.362,.779,0.7,3.3,4.0,1.5,0.9,0.7,1.1,3.2,2015
Earl Barron,33,C,PHO,16,1,8.9,2.0,.308,.286,.500,.500,0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2015
Will Barton,24,SG,TOT,58,0,16.9,6.8,.425,.474,.271,.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,2015
Brandon Bass,29,PF,BOS,82,43,23.5,10.6,.504,.515,.281,.790,1.7,3.2,4.9,1.3,0.5,0.4,1.0,1.7,2015
Nicolas Batum,26,SF,POR,71,71,33.5,9.4,.400,.481,.324,.857,0.9,5.0,5.9,4.8,1.1,0.6,1.9,1.5,2015
Jerryd Bayless,26,PG,MIL,77,4,22.3,7.8,.426,.462,.308,.883,0.3,2.5,2.7,3.0,0.8,0.2,1.7,2.1,2015
Aron Baynes,28,C,SAS,70,17,16.0,6.6,.566,.570,.250,.865,1.6,3.0,4.5,0.5,0.2,0.3,0.9,2.3,2015
Kent Bazemore,25,SG,ATL,75,10,17.7,5.2,.426,.467,.364,.600,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,2015
Bradley Beal,21,SG,WAS,63,59,33.4,15.3,.427,.434,.409,.783,0.9,2.9,3.8,3.1,1.2,0.3,2.0,2.2,2015
Michael Beasley,26,PF,MIA,24,1,21.0,8.8,.434,.472,.235,.769,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,2015
Marco Belinelli,28,SG,SAS,62,9,22.4,9.2,.423,.471,.374,.848,0.4,2.1,2.5,1.5,0.5,0.0,1.0,1.4,2015
Jerrelle Benimon,23,PF,UTA,2,0,1.5,0.0,,,,,0.5,1.0,1.5,0.0,0.0,0.0,0.5,0.0,2015
Anthony Bennett,21,PF,MIN,57,3,15.7,5.2,.421,.431,.304,.641,0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,2015
Patrick Beverley,26,PG,HOU,56,55,30.8,10.1,.383,.426,.356,.750,1.2,3.0,4.2,3.4,1.1,0.4,1.5,3.3,2015
Sim Bhullar,22,C,SAC,3,0,1.0,0.7,.500,.500,,,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.0,2015
Bismack Biyombo,22,C,CHO,64,21,19.4,4.8,.543,.543,,.583,2.5,3.9,6.4,0.3,0.3,1.5,0.8,2.2,2015
Tarik Black,23,C,TOT,63,39,19.0,6.0,.575,.577,.000,.551,2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,2015
DeJuan Blair,25,PF,WAS,29,0,6.2,1.9,.456,.456,,.667,0.6,1.4,1.9,0.1,0.2,0.0,0.4,1.4,2015
Steve Blake,34,PG,POR,81,0,18.9,4.3,.373,.417,.352,.707,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,2015
Eric Bledsoe,25,PG,PHO,81,81,34.6,17.0,.447,.491,.324,.800,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,2015
Vander Blue,22,SG,LAL,2,1,37.0,11.0,.300,.350,.200,.400,1.0,3.5,4.5,4.0,1.5,0.0,3.0,2.0,2015
Bojan Bogdanović,25,SF,BRK,78,28,23.8,9.0,.453,.531,.355,.821,0.6,2.1,2.7,0.9,0.4,0.1,1.0,1.3,2015
Andrew Bogut,30,C,GSW,67,65,23.6,6.3,.563,.563,,.524,2.1,6.0,8.1,2.7,0.6,1.7,1.6,2.8,2015
Matt Bonner,34,PF,SAS,72,19,13.0,3.7,.409,.462,.365,.811,0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,2015
Trevor Booker,27,PF,UTA,79,5,19.8,7.2,.487,.518,.345,.581,1.8,3.3,5.0,1.1,0.5,0.5,1.1,1.8,2015
Carlos Boozer,33,PF,LAL,71,26,23.8,11.8,.499,.499,,.627,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,2015
Chris Bosh*,30,C,MIA,44,44,35.4,21.1,.460,.485,.375,.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,1.6,2015
Avery Bradley,24,SG,BOS,77,77,31.5,13.9,.429,.470,.352,.790,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,2015
Elton Brand,35,C,ATL,36,4,13.5,2.7,.442,.447,.000,.522,0.8,2.0,2.8,0.6,0.5,0.7,0.5,1.5,2015
Corey Brewer,28,SF,TOT,80,17,26.1,11.5,.426,.491,.268,.743,1.0,2.7,3.7,2.2,1.4,0.2,1.6,2.2,2015
Aaron Brooks,30,PG,CHI,82,21,23.0,11.6,.421,.442,.387,.833,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,2015
Jabari Brown,22,SG,LAL,19,5,29.9,11.9,.412,.435,.371,.753,0.2,1.7,1.9,2.1,0.6,0.1,1.7,1.7,2015
Lorenzo Brown,24,PG,MIN,29,7,18.9,4.2,.426,.489,.214,.632,0.5,1.9,2.4,3.1,1.0,0.2,1.0,1.7,2015
Markel Brown,23,SG,BRK,47,29,16.6,4.6,.362,.404,.266,.825,0.3,1.9,2.3,0.8,0.7,0.3,0.6,1.2,2015
Shannon Brown,29,SG,MIA,5,2,17.8,4.0,.368,.333,.429,.750,0.0,0.2,0.2,0.6,0.8,0.0,0.8,1.6,2015
Kobe Bryant*,36,SG,LAL,35,35,34.5,22.3,.373,.401,.293,.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,2015
Chase Budinger,26,SF,MIN,67,4,19.2,6.8,.433,.474,.364,.827,0.5,2.5,3.0,1.0,0.7,0.1,0.7,1.1,2015
Reggie Bullock,23,SF,TOT,36,2,9.4,1.9,.343,.375,.326,.667,0.0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,2015
Trey Burke,22,PG,UTA,76,43,30.1,12.8,.368,.400,.318,.752,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,2015
Alec Burks,23,SG,UTA,27,27,33.3,13.9,.403,.409,.382,.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,2015
Caron Butler,34,SF,DET,78,21,20.8,5.9,.407,.441,.379,.902,0.3,2.2,2.5,1.0,0.6,0.1,0.6,1.5,2015
Jimmy Butler,25,SG,CHI,65,65,38.7,20.0,.462,.484,.378,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,2015
Rasual Butler,35,SF,WAS,75,1,20.1,7.7,.422,.450,.387,.791,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,2015
Dwight Buycks,25,PG,LAL,6,0,20.5,8.7,.450,.379,.636,.900,0.3,1.7,2.0,2.3,0.5,0.0,2.0,0.5,2015
Will Bynum,32,SG,WAS,7,0,9.6,3.1,.323,.455,.000,.500,0.3,0.6,0.9,2.6,0.1,0.1,1.1,1.3,2015
Bruno Caboclo,19,SF,TOR,8,0,2.9,1.3,.333,.222,.667,,0.1,0.1,0.3,0.0,0.0,0.1,0.5,0.4,2015
Nick Calathes,25,SG,MEM,58,0,14.4,4.2,.421,.456,.256,.533,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,2015
José Calderón,33,PG,NYK,42,42,30.2,9.1,.415,.415,.415,.906,0.5,2.5,3.0,4.7,0.7,0.0,1.8,1.8,2015
Kentavious Caldwell-Pope,21,SG,DET,82,82,31.5,12.7,.401,.449,.345,.696,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2.0,2015
Isaiah Canaan,23,PG,TOT,47,21,20.0,9.2,.386,.417,.370,.817,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,2015
Clint Capela,20,C,HOU,12,0,7.5,2.7,.483,.483,,.174,0.8,2.2,3.0,0.2,0.1,0.8,0.4,1.2,2015
DeMarre Carroll,28,SF,ATL,70,69,31.3,12.6,.487,.567,.395,.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,2015
Vince Carter,38,SG,MEM,66,1,16.5,5.8,.333,.379,.297,.789,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.5,2015
Michael Carter-Williams,23,PG,TOT,66,63,32.6,14.6,.396,.428,.235,.694,1.0,4.4,5.3,6.7,1.7,0.5,3.8,2.5,2015
Omri Casspi,26,SF,SAC,67,19,21.1,8.9,.489,.512,.402,.733,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,2015
Mario Chalmers,28,PG,MIA,80,37,29.6,10.2,.403,.467,.294,.774,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,2015
Tyson Chandler,32,C,DAL,75,75,30.5,10.3,.666,.666,,.720,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,2015
Wilson Chandler,27,SF,DEN,78,75,31.7,13.9,.429,.490,.342,.775,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3.0,2015
