Player_name,age,position,team name,games,games started,minutes,points,Field goals,2FG,3FG,FT,R.offensive,R.defensive,R.total,Assists,Steals,BLK,Turnover,Persona fouls,year played
Quincy Acy,22,PF,TOR,29,0,11.8,4.0,.560,.562,.500,.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,2013
Jeff Adrien,26,PF,CHA,52,5,13.7,4.0,.429,.434,.000,.650,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,2013
Arron Afflalo,27,SF,ORL,64,64,36.0,16.5,.439,.489,.300,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,2013
Josh Akognon,26,PG,DAL,3,0,3.0,1.7,.500,.500,.500,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,2013
Cole Aldrich,24,C,TOT,45,0,8.6,2.2,.550,.550,,.600,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2013
LaMarcus Aldridge,27,PF,POR,74,74,37.7,21.1,.484,.488,.143,.810,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,2013
Lavoy Allen,23,C,PHI,79,37,21.1,5.8,.454,.455,.000,.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,2013
Ray Allen*,37,SG,MIA,79,0,25.8,10.9,.449,.480,.419,.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,2013
Tony Allen,31,SG,MEM,79,79,26.7,8.9,.445,.458,.125,.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,2013
Al-Farouq Aminu,22,SF,NOH,76,71,27.2,7.3,.475,.486,.211,.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,2013
Lou Amundson,30,PF,TOT,39,0,9.5,1.9,.395,.395,,.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,2013
Chris Andersen,34,C,MIA,42,0,14.9,4.9,.577,.575,.667,.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,2013
Alan Anderson,30,SF,TOR,65,2,23.0,10.7,.383,.426,.333,.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,2013
James Anderson,23,SG-SF,TOT,39,2,10.3,3.8,.413,.470,.350,.857,0.5,1.4,1.8,1.1,0.4,0.1,0.6,0.6,2013
Ryan Anderson,24,PF,NOH,81,22,30.9,16.2,.423,.464,.382,.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,2013
Carmelo Anthony,28,PF,NYK,67,67,37.0,28.7,.449,.476,.379,.830,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,2013
Joel Anthony,30,C,MIA,62,3,9.1,1.4,.515,.515,,.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,2013
Trevor Ariza,27,SF,WAS,56,15,26.3,9.5,.417,.463,.364,.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,2013
Darrell Arthur,24,PF,MEM,59,3,16.4,6.1,.451,.460,.278,.717,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,2013
Ömer Aşık,26,C,HOU,82,82,30.0,10.1,.541,.542,.000,.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,2013
D.J. Augustin,25,PG,IND,76,5,16.1,4.7,.350,.346,.353,.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,2013
Gustavo Ayón,27,C,TOT,55,3,13.3,3.7,.551,.551,,.400,1.1,2.5,3.6,1.3,0.4,0.3,0.9,1.9,2013
Jeff Ayres,25,PF,IND,37,0,10.0,3.9,.484,.484,.500,.913,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,2013
Luke Babbitt,23,PF,POR,62,0,11.8,3.9,.368,.429,.348,.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,2013
Leandro Barbosa,30,PG,BOS,41,2,12.5,5.2,.430,.445,.383,.756,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,2013
J.J. Barea,28,PG,MIN,74,2,23.1,11.3,.417,.458,.346,.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,2013
Andrea Bargnani,27,PF,TOR,35,25,28.7,12.7,.399,.436,.309,.844,0.7,2.9,3.7,1.1,0.6,0.7,1.5,1.8,2013
Harrison Barnes,20,SF,GSW,81,81,25.4,9.2,.439,.464,.359,.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,2013
Matt Barnes,32,SF,LAC,80,4,25.7,10.3,.462,.574,.342,.744,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,2013
Earl Barron,31,C,TOT,12,2,13.3,3.3,.353,.353,,.429,1.8,3.3,5.1,0.4,0.4,0.5,0.9,2.0,2013
Will Barton,22,SG,POR,73,5,12.2,4.0,.382,.447,.138,.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,2013
Brandon Bass,27,PF,BOS,81,69,27.6,8.7,.486,.487,.000,.860,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,2013
Shane Battier,34,SF,MIA,72,20,24.8,6.6,.420,.348,.430,.842,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,2013
Nicolas Batum,24,SF,POR,73,73,38.5,14.3,.423,.481,.372,.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,2013
Jerryd Bayless,24,PG,MEM,80,4,22.1,8.7,.419,.450,.353,.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,2013
Aron Baynes,26,C,SAS,16,0,8.8,2.7,.500,.514,.000,.583,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2013
Kent Bazemore,23,SG,GSW,61,0,4.4,2.0,.371,.402,.294,.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2013
Bradley Beal,19,SG,WAS,56,46,31.2,13.9,.410,.424,.386,.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,2013
Michael Beasley,24,SF,PHO,75,20,20.7,10.1,.405,.426,.313,.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,2013
Rodrigue Beaubois,24,PG,DAL,45,0,12.2,4.0,.369,.423,.292,.789,0.2,1.1,1.3,1.9,0.4,0.1,0.7,1.2,2013
